model,seed,corruption,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,5,shot_noise,3,0.5551,2.128460153198242,0.30856516750901936,0.721896291923523,0.3950194732757169,0.3950194732757169,,,
D1,5,frost,1,0.9135,0.3433611417770386,0.049570507642626764,0.13949143652915955,0.11549948061768227,0.12690564670573076,0.005800000000000027,0.05262487867520346,0.03333892921470055
D1,1,gaussian_noise,1,0.7939,0.893284209060669,0.14010615492761136,0.3403741062641144,0.19785504027713613,0.25010346128284,0.019199999999999995,0.09923498673801345,0.05927864327120777
D1,2,impulse_noise,5,0.188,5.262443169403076,0.7138179832935333,1.477119759941101,0.3025480177877558,0.362221330316033,0.031200000000000006,0.14517538025298368,0.07608594230909876
D1,1,speckle_noise,1,0.8765,0.5191888462245464,0.07721197646260261,0.203851521012187,0.14112625346370042,0.17678435810159135,0.01200000000000001,0.0703768221925134,0.04248691171932206
C,1,brightness,2,0.9486,0.20344090585708619,0.028266843312978743,0.08391190776824951,0.07478970836353255,0.07545875631046366,0.006000000000000005,,0.070720011297585
D1,3,gaussian_noise,4,0.3247,3.9091528327941893,0.5519697705805302,1.1805755296707154,0.3581601861324234,0.43184177996677026,0.03520000000000001,0.1734521044797778,0.11248098055586166
C,3,fog,1,0.9484,0.2048604829311371,0.02799920399039984,0.08247751626968383,0.07342733077210141,0.07474453177731484,0.005099999999999993,,0.06952730600825585
A,1,defocus_blur,2,0.9383,0.23919765959978104,0.034418281418085096,0.09930788834095002,0.08579844996062165,0.08579844996062165,,,
D1,1,impulse_noise,3,0.5903,1.8886344408035278,0.2841613178566098,0.6663909032821655,0.37370038529931626,0.4979818392242945,0.047900000000000054,0.19350287348155107,0.10047866315722724
C,1,motion_blur,3,0.7588,0.9492185078144073,0.1509449145913124,0.38185777492523193,0.2768566610288108,0.2758640323210682,0.016700000000000048,,0.07796615966033117
D1,1,defocus_blur,2,0.9388,0.24159061756134034,0.037067912262678145,0.0996029284477234,0.07562365699926449,0.0915776121730567,0.005499999999999949,0.03689166599514926,0.023104209380588922
C,1,elastic_transform,4,0.8005,0.782619589471817,0.11560872911810875,0.316652284860611,0.25523685197582235,0.2546920085655467,0.02100000000000002,,0.07666474864534978
A,4,glass_blur,5,0.5162,2.130498754501343,0.30986381597220897,0.7629634740829467,0.5151222822193231,0.5151222822193231,,,
D1,1,zoom_blur,3,0.8122,0.7778717504501342,0.115230934882164,0.30169196195602416,0.2183132905608509,0.27279614771449123,0.021499999999999964,0.108570159190379,0.06914298192152106
D1,2,gaussian_blur,1,0.9481,0.203923370552063,0.03222265688329935,0.08486907002925873,0.06380257688460697,0.07604337418958894,0.005099999999999993,0.03078696048541266,0.01980810388035834
D1,2,motion_blur,5,0.6654,1.5123017379760741,0.23132935997843743,0.5505346340179443,0.3011247176851262,0.3774057709969755,0.03469999999999995,0.14954124037629515,0.09402573889801309
C,3,zoom_blur,2,0.8643,0.5345930028915405,0.07956337117105722,0.21633912019729615,0.17265292575622443,0.17493530952238942,0.011499999999999955,,0.07378406219932195
D1,5,jpeg_compression,3,0.7922,0.848021548461914,0.12705294820666313,0.3341359893321991,0.24183638673633104,0.2694013120344025,0.01870000000000005,0.11080666546748931,0.06805291023719563
D1,2,pixelate,3,0.8278,0.7179536581039428,0.11294275640547276,0.2788380052089691,0.17754936449631933,0.2196683774803998,0.0262,0.08766530617664588,0.04933699420531933
C,5,shot_noise,4,0.4275,2.941681161880493,0.4271137404322624,0.953695583152771,0.4222222338734224,0.42535818512030527,0.029299999999999993,,0.0759009970868325
D1,3,speckle_noise,5,0.3969,3.266211538314819,0.45825873128324746,1.0127501148223876,0.41640964583896567,0.5073581376006768,0.04179999999999995,0.2028014819532167,0.12916886431659133
A,2,fog,1,0.9498,0.19376069865226744,0.027859416711330413,0.08100716080665589,0.07211332787513383,0.07211332787513383,,,
A,2,fog,4,0.895,0.42081463832855226,0.06204040147811175,0.16975299005508424,0.13443122949449754,0.13443122949449754,,,
C,5,glass_blur,3,0.6241,1.6510740106582642,0.24549902598410844,0.6001689681529999,0.39107727350870847,0.39071322624922034,0.02510000000000001,,0.07764915750863642
A,5,impulse_noise,3,0.5694,1.9212110996246339,0.2752983362197876,0.677103076171875,0.45964403092737777,0.45964403092737777,,,
D1,1,zoom_blur,4,0.7515,1.0447692504882813,0.1555286781400442,0.39633047218322753,0.27331884745293644,0.3436327239433944,0.027800000000000047,0.1364441906755106,0.08727175599070201
D1,4,spatter,5,0.7439,1.1832654665231706,0.18431051702946424,0.4303639594197273,0.22174978583518531,0.2659528963082412,0.0252,0.10736673551452598,0.053827197819153516
A,4,fog,4,0.8849,0.45436612520217895,0.06834495253115892,0.1858945559501648,0.1416470407203975,0.1416470407203975,,,
A,5,impulse_noise,1,0.8391,0.668927599620819,0.09486507464498281,0.2592305333852768,0.20098752890447505,0.20098752890447505,,,
C,3,brightness,1,0.95,0.19820190453529357,0.028703494894504546,0.0807880785703659,0.06869758501430624,0.06947310519058957,0.0048000000000000265,,0.0692847547216723
A,3,contrast,4,0.7805,0.8596283622741699,0.13291798530071974,0.34818347334861754,0.2609452060771204,0.2609452060771204,,,
A,2,speckle_noise,2,0.7298,1.2249050855636596,0.1839606413602829,0.44463078789710997,0.2599995519409364,0.2599995519409364,,,
D1,4,pixelate,3,0.8288,0.7175255651474,0.11208529199957848,0.27621157779693606,0.18032259130383027,0.21465439972710446,0.025599999999999956,0.08710786002441114,0.044530776625212896
C,5,defocus_blur,1,0.9497,0.19967236392498017,0.02908361985683441,0.08293531723022461,0.06897913904507587,0.06943203815164016,0.0047000000000000375,,0.06968281808531236
D1,2,impulse_noise,3,0.5947,1.8061141597747803,0.2734915281906724,0.6560980577468872,0.3899985034548241,0.503202230319276,0.051000000000000045,0.19674418194826915,0.1103801321354921
D1,2,snow,2,0.812,0.8078550304412841,0.12503760711550713,0.30721549324989317,0.19068529729184228,0.24129177924626274,0.019399999999999973,0.09531540434281827,0.05765857810965921
C,5,motion_blur,3,0.7358,1.1387671827316284,0.17475946991741656,0.4313899741649628,0.2712957251828484,0.27051604100965926,0.014800000000000035,,0.07639892642582156
C,2,speckle_noise,4,0.4364,3.096298358154297,0.4421208957135677,0.9671300760269165,0.3569721737854998,0.36446341580052977,0.018100000000000005,,0.07340009735786479
A,2,gaussian_blur,1,0.9511,0.18996863384246826,0.02744729522317648,0.07973409345149994,0.06990622542884521,0.06990622542884521,,,
A,1,glass_blur,4,0.4899,2.290413023376465,0.33336092220544816,0.8055967537879943,0.5212621241949266,0.5212621241949266,,,
C,1,frost,2,0.8624,0.5602016785621643,0.08050487727969885,0.2204160692691803,0.17513278241725055,0.1749095528258942,0.011600000000000055,,0.07313567816687588
A,3,defocus_blur,2,0.9336,0.26321102890968323,0.039126174864172934,0.10755207376480103,0.08574280557023885,0.08574280557023885,,,
D1,5,impulse_noise,5,0.2,4.919075266265869,0.6368459604308009,1.3727557136535644,0.44870641381562454,0.494991665715538,0.02939999999999998,0.20341245079038442,0.11127133540452339
D1,5,fog,5,0.7357,1.1180139108657836,0.1756015240058303,0.4278718235492706,0.2650935377537797,0.2926562913437432,0.021700000000000053,0.12102736932757736,0.0810780693539884
A,2,saturate,5,0.8955,0.409469131565094,0.06073508560806513,0.16699999158382417,0.13734222664744156,0.13734222664744156,,,
A,3,gaussian_blur,4,0.6363,1.4703776683807372,0.21259416136443615,0.5668662454605102,0.4401988646552316,0.4401988646552316,,,
A,3,impulse_noise,4,0.3913,2.822678968811035,0.3838596739500761,0.940518056678772,0.6657988594577997,0.6657988594577997,,,
C,3,frost,4,0.7613,1.0565241861343384,0.15119813133329152,0.3835545509338379,0.2638458389537991,0.26511314835551314,0.014599999999999946,,0.07386731951082784
C,5,motion_blur,4,0.735,1.1371598949432373,0.1750676640599966,0.42636387672424314,0.2690418598732387,0.2683384375880036,0.01770000000000005,,0.07631412357047455
C,3,glass_blur,5,0.4952,2.4128589317321776,0.34439816099256276,0.8132405351638794,0.4753503613079083,0.4681535833073605,0.028699999999999948,,0.07828854134376968
D1,4,brightness,2,0.9477,0.20838151211738587,0.03134245646297932,0.08616188943386077,0.06807745692775644,0.07840348502696724,0.0046000000000000485,0.032140974640443166,0.017680182444723018
C,1,frost,4,0.7622,1.0453134481430053,0.14728963712155818,0.38223250074386594,0.27266159002506757,0.27253870366815824,0.014800000000000035,,0.07487807813495846
C,2,spatter,4,0.8658,0.5453189729690552,0.08354024619460106,0.2182622556209564,0.15648609674018227,0.1571629870011937,0.011399999999999966,,0.07064907319256004
A,1,brightness,3,0.9411,0.22392337322235106,0.033137488505244256,0.09379251742362976,0.08304062830681214,0.08304062830681214,,,
C,1,contrast,1,0.9476,0.20925797200202942,0.029191597202420233,0.08605500421524048,0.07704841282366542,0.07779987276899338,0.00539999999999996,,0.07099181530416028
A,3,pixelate,3,0.8298,0.6887161267280578,0.10041108506619931,0.2690419674873352,0.21396594235000374,0.21396594235000374,,,
D1,3,frost,4,0.7612,1.054104351425171,0.15962146131545304,0.3878606448173523,0.23424763578882557,0.28909801037127036,0.02859999999999996,0.1149449996946918,0.07462491828212386
C,3,saturate,2,0.9071,0.3797960330963135,0.05459659724533558,0.1506422122001648,0.11873643752500648,0.11935944978884654,0.006700000000000039,,0.07097036283470586
D1,4,gaussian_noise,1,0.8165,0.7716172002792359,0.11698356387019157,0.2986286781311035,0.1969877670120477,0.23016726918273198,0.01970000000000005,0.09392495533680728,0.05225786973056973
A,1,gaussian_noise,4,0.3052,3.864372794723511,0.5461095164239407,1.1810718116760255,0.4300890952412505,0.4300890952412505,,,
D1,3,glass_blur,4,0.4808,2.4597465919494628,0.36907864426076414,0.8493105215072632,0.4414382684947923,0.5576614271161845,0.05920000000000003,0.21918735890355504,0.12998450005122442
C,1,snow,2,0.7991,0.8609192180633545,0.12542389277815819,0.3239930811882019,0.2301663126580359,0.22908130887296865,0.015000000000000013,,0.07442832423843421
A,5,snow,5,0.7862,0.8854632915496826,0.1280314568206668,0.3367224136352539,0.2569443435426947,0.2569443435426947,,,
A,2,speckle_noise,5,0.3983,3.1366382453918455,0.45292505656033755,1.005450368309021,0.43822909251813547,0.43822909251813547,,,
A,3,pixelate,2,0.8762,0.47612146282196044,0.0681651265591383,0.19146963024139405,0.16932851777276955,0.16932851777276955,,,
D1,3,jpeg_compression,4,0.7736,0.9585419052124023,0.14816351496726274,0.3707982618331909,0.23549228937512962,0.2898266664526658,0.0242,0.11531139768916569,0.0756294735784268
D1,4,gaussian_blur,2,0.8899,0.4243657308578491,0.06746778755486012,0.17470796036720276,0.12946585743987815,0.14888256847746087,0.011099999999999999,0.061100698029198486,0.03461294306672892
A,3,contrast,3,0.8741,0.4827471999168396,0.07494100333154201,0.2000303032875061,0.15525924608698405,0.15525924608698405,,,
A,2,elastic_transform,4,0.8087,0.7620017434120179,0.1118082127213478,0.3072917129993439,0.24488316015538003,0.24488316015538003,,,
D1,5,shot_noise,3,0.5539,2.0985663791656495,0.3231916041344404,0.7338694815635681,0.35567341460821916,0.3952516255519644,0.03249999999999997,0.1623406852169195,0.10758739300136665
A,1,pixelate,1,0.9269,0.2900896239757538,0.04116516177654266,0.11853333396911621,0.10217100216784747,0.10217100216784747,,,
D1,5,brightness,3,0.9444,0.21604179186820985,0.0317682079076767,0.08812789356708527,0.0754149822205276,0.08271316414581088,0.0048000000000000265,0.034357151562565316,0.021662029695061574
A,5,spatter,5,0.7769,1.0130914282798766,0.14156792819350958,0.36840092780590056,0.24169476311034524,0.24169476311034524,,,
A,1,zoom_blur,3,0.8056,0.7490086256980896,0.11169425012469292,0.3058852129817009,0.25356420291718096,0.25356420291718096,,,
A,5,defocus_blur,4,0.791,0.8455202198028564,0.1297073178693652,0.33537834854125975,0.238148030894564,0.238148030894564,,,
C,3,contrast,3,0.8666,0.5380297643661499,0.08364525604248046,0.2143875365257263,0.15402951562537345,0.15554495713550714,0.009199999999999986,,0.07321963178599886
D1,5,fog,1,0.9523,0.19902731199264526,0.027262256483733652,0.07967785646915436,0.06605711357195396,0.07213791405089433,0.0032999999999999696,0.030038631777017627,0.019380595641965512
A,3,glass_blur,1,0.5976,1.7640191270828247,0.26210305645763876,0.6417030179977417,0.41693621778809464,0.41693621778809464,,,
C,3,speckle_noise,1,0.8719,0.5189658472537995,0.0791499667033553,0.20321545515060424,0.1500248350624752,0.15140107527042856,0.00880000000000003,,0.07116934995852657
A,5,elastic_transform,3,0.8644,0.5278766359329223,0.07863071330189705,0.21677317543029787,0.17333979835547506,0.17333979835547506,,,
D1,3,jpeg_compression,5,0.7306,1.137524786567688,0.17923074665367603,0.43657074937820434,0.2683355617163703,0.3305629553670937,0.02839999999999998,0.13143424684937247,0.08583259829010116
C,2,spatter,1,0.9273,0.28732694325447083,0.041208522507548334,0.11759702514410018,0.09955571200499544,0.10008911946060252,0.006700000000000039,,0.0694210398897722
C,2,defocus_blur,1,0.9476,0.1995631791293621,0.03202913615107536,0.0830259008973837,0.06715436602291301,0.06762499754931778,0.0042999999999999705,,0.06826875866610599
D1,2,frost,5,0.6522,1.6329870399475097,0.24433653300404548,0.5737487760543823,0.3087272678752808,0.3915085704561847,0.037799999999999945,0.15440240293367338,0.09063539939579668
C,5,defocus_blur,3,0.8823,0.4537157926559448,0.0717962217837572,0.1872192451953888,0.14009873651624075,0.1409848548138747,0.007600000000000051,,0.07286541783665866
D1,4,impulse_noise,2,0.6638,1.5905077459335326,0.236402671071887,0.5555949528694153,0.3042664788042428,0.3691410435165162,0.043300000000000005,0.14821175067630635,0.07048002999587392
D1,3,gaussian_noise,1,0.7991,0.8763784450531006,0.134629282695055,0.3312011331558228,0.19665247774311576,0.23676500361329528,0.019499999999999962,0.09524031275831124,0.06326596732725251
D1,4,saturate,2,0.9089,0.36104274797439573,0.05615094411969185,0.14675796568393706,0.10730647883231285,0.12430082839881361,0.008600000000000052,0.050825222789862894,0.028270682221859727
C,3,gaussian_blur,2,0.8952,0.4140897576332092,0.06391325248628854,0.16938067169189452,0.12889255824253779,0.12976760849839775,0.008700000000000041,,0.07235851223332568
A,2,snow,3,0.8442,0.6263742822647095,0.09030233390182257,0.25092623789310453,0.199952885725745,0.199952885725745,,,
A,3,impulse_noise,1,0.8155,0.7929966765403748,0.11626606437712908,0.30166382272243497,0.2083863774871279,0.2083863774871279,,,
D1,4,defocus_blur,4,0.7977,0.8169914898872376,0.13160680007785558,0.32561796646118163,0.21069713099316578,0.24336917879125686,0.018199999999999994,0.09973144564903536,0.056553359991690276
