model,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,brightness,"{""n"": 5, ""mean"": 0.937508, ""std"": 0.0015601666577645193, ""ci95"": [0.9355707972298559, 0.9394452027701441], ""median"": 0.93658, ""minimum"": 0.93604, ""maximum"": 0.93944}","{""n"": 5, ""mean"": 0.24104035513401031, ""std"": 0.004393604261263667, ""ci95"": [0.23558497490044455, 0.24649573536757607], ""median"": 0.23892337012290957, ""minimum"": 0.23646645201683045, ""maximum"": 0.24629824244499207}","{""n"": 5, ""mean"": 0.03512556165903807, ""std"": 0.0012304190037381246, ""ci95"": [0.03359779467939069, 0.036653328638685444], ""median"": 0.035701569637060164, ""minimum"": 0.03368387108415365, ""maximum"": 0.03617777521312237}","{""n"": 5, ""mean"": 0.10001899503922462, ""std"": 0.0020598157038414873, ""ci95"": [0.09746139603682989, 0.10257659404161935], ""median"": 0.10059654726147652, ""minimum"": 0.09776480378627778, ""maximum"": 0.10193312315464019}","{""n"": 5, ""mean"": 0.08726281916965029, ""std"": 0.0009535787207147008, ""ci95"": [0.08607879480268564, 0.08844684353661493], ""median"": 0.08735484104181902, ""minimum"": 0.08567225687488463, ""maximum"": 0.08811996517301857}","{""n"": 5, ""mean"": 0.08726281916965029, ""std"": 0.0009535787207147008, ""ci95"": [0.08607879480268564, 0.08844684353661493], ""median"": 0.08735484104181902, ""minimum"": 0.08567225687488463, ""maximum"": 0.08811996517301857}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,contrast,"{""n"": 5, ""mean"": 0.766812, ""std"": 0.006797243558973028, ""ci95"": [0.7583721073858009, 0.7752518926141992], ""median"": 0.7692, ""minimum"": 0.75586, ""maximum"": 0.77224}","{""n"": 5, ""mean"": 0.9943220514392853, ""std"": 0.05293396805779356, ""ci95"": [0.9285958490198549, 1.0600482538587157], ""median"": 0.9911275083065033, ""minimum"": 0.9354151126813889, ""maximum"": 1.0790373960161208}","{""n"": 5, ""mean"": 0.14680755015146732, ""std"": 0.008330183235315541, ""ci95"": [0.13646426152973543, 0.15715083877319921], ""median"": 0.1486895580509305, ""minimum"": 0.1371968476086855, ""maximum"": 0.15766281316518785}","{""n"": 5, ""mean"": 0.3673397923178673, ""std"": 0.014836434452490664, ""ci95"": [0.3489179257964996, 0.38576165883923497], ""median"": 0.36585274440288545, ""minimum"": 0.3509108179497719, ""maximum"": 0.3901525218844414}","{""n"": 5, ""mean"": 0.2609298721231063, ""std"": 0.012299945323081743, ""ci95"": [0.2456574728355609, 0.2762022714106517], ""median"": 0.25915335397007844, ""minimum"": 0.24325158181855833, ""maximum"": 0.27350826213264023}","{""n"": 5, ""mean"": 0.2609298721231063, ""std"": 0.012299945323081743, ""ci95"": [0.2456574728355609, 0.2762022714106517], ""median"": 0.25915335397007844, ""minimum"": 0.24325158181855833, ""maximum"": 0.27350826213264023}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,defocus_blur,"{""n"": 5, ""mean"": 0.82528, ""std"": 0.007715801967391324, ""ci95"": [0.8156995664798204, 0.8348604335201796], ""median"": 0.82256, ""minimum"": 0.81788, ""maximum"": 0.83716}","{""n"": 5, ""mean"": 0.7164113615009785, ""std"": 0.04199683725489833, ""ci95"": [0.6642654006431485, 0.7685573223588085], ""median"": 0.7308737168085575, ""minimum"": 0.6670688064193726, ""maximum"": 0.7560371969509124}","{""n"": 5, ""mean"": 0.10752004393678903, ""std"": 0.005618335957673344, ""ci95"": [0.10054395844833236, 0.1144961294252457], ""median"": 0.11015637896329164, ""minimum"": 0.10092957810938359, ""maximum"": 0.11366032620519399}","{""n"": 5, ""mean"": 0.27816768513846396, ""std"": 0.01253284640483717, ""ci95"": [0.26260610096256015, 0.29372926931436777], ""median"": 0.28307818123221395, ""minimum"": 0.2603500079059601, ""maximum"": 0.28872468693733216}","{""n"": 5, ""mean"": 0.20278658180362655, ""std"": 0.009473272451723734, ""ci95"": [0.19102396045514566, 0.21454920315210743], ""median"": 0.20062363908657047, ""minimum"": 0.18994266825301137, ""maximum"": 0.2129590719168703}","{""n"": 5, ""mean"": 0.20278658180362655, ""std"": 0.009473272451723734, ""ci95"": [0.19102396045514566, 0.21454920315210743], ""median"": 0.20062363908657047, ""minimum"": 0.18994266825301137, ""maximum"": 0.2129590719168703}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,elastic_transform,"{""n"": 5, ""mean"": 0.848888, ""std"": 0.004060605866123931, ""ci95"": [0.8438460918851388, 0.8539299081148611], ""median"": 0.8475, ""minimum"": 0.8452, ""maximum"": 0.85332}","{""n"": 5, ""mean"": 0.5920223928732872, ""std"": 0.01797726287311338, ""ci95"": [0.569700672777497, 0.6143441129690773], ""median"": 0.5992319053840637, ""minimum"": 0.572036544702053, ""maximum"": 0.6086107646465302}","{""n"": 5, ""mean"": 0.08689479566544295, ""std"": 0.0028225046102777146, ""ci95"": [0.08339019330609695, 0.09039939802478894], ""median"": 0.08789289232373237, ""minimum"": 0.08355906601995229, ""maximum"": 0.08948561475247145}","{""n"": 5, ""mean"": 0.24032666055941582, ""std"": 0.006007464634107531, ""ci95"": [0.23286740800276212, 0.2477859131160695], ""median"": 0.2427245168352127, ""minimum"": 0.23361750071883203, ""maximum"": 0.24575693545818328}","{""n"": 5, ""mean"": 0.19586484833666076, ""std"": 0.0023875550733311484, ""ci95"": [0.19290030715837672, 0.1988293895149448], ""median"": 0.19598168340274888, ""minimum"": 0.19284631389848655, ""maximum"": 0.19870466061825864}","{""n"": 5, ""mean"": 0.19586484833666076, ""std"": 0.0023875550733311484, ""ci95"": [0.19290030715837672, 0.1988293895149448], ""median"": 0.19598168340274888, ""minimum"": 0.19284631389848655, ""maximum"": 0.19870466061825864}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,fog,"{""n"": 5, ""mean"": 0.886656, ""std"": 0.003297405040330939, ""ci95"": [0.8825617308739254, 0.8907502691260746], ""median"": 0.8857, ""minimum"": 0.88326, ""maximum"": 0.89042}","{""n"": 5, ""mean"": 0.4576528607839346, ""std"": 0.015832344970461744, ""ci95"": [0.43799440802696976, 0.4773113135408994], ""median"": 0.4654218505859375, ""minimum"": 0.4389739955711365, ""maximum"": 0.47138305330097674}","{""n"": 5, ""mean"": 0.06888361070746184, ""std"": 0.002451449817713419, ""ci95"": [0.0658397337254039, 0.07192748768951977], ""median"": 0.07002693832755089, ""minimum"": 0.06618650011390448, ""maximum"": 0.07146033172547818}","{""n"": 5, ""mean"": 0.18195635828903317, ""std"": 0.0058697633064637945, ""ci95"": [0.17466808451341959, 0.18924463206464676], ""median"": 0.18371203878879547, ""minimum"": 0.17552806344032287, ""maximum"": 0.18783276282325387}","{""n"": 5, ""mean"": 0.13663338002447306, ""std"": 0.0028256552367224553, ""ci95"": [0.13312486564569884, 0.14014189440324729], ""median"": 0.13532968356460565, ""minimum"": 0.1342015658177744, ""maximum"": 0.1404391545670596}","{""n"": 5, ""mean"": 0.13663338002447306, ""std"": 0.0028256552367224553, ""ci95"": [0.13312486564569884, 0.14014189440324729], ""median"": 0.13532968356460565, ""minimum"": 0.1342015658177744, ""maximum"": 0.1404391545670596}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,frost,"{""n"": 5, ""mean"": 0.793724, ""std"": 0.011412733239675735, ""ci95"": [0.7795532200151912, 0.8078947799848087], ""median"": 0.7984, ""minimum"": 0.7770400000000001, ""maximum"": 0.80662}","{""n"": 5, ""mean"": 0.8774022415428161, ""std"": 0.04812056020310697, ""ci95"": [0.8176526743652213, 0.9371518087204109], ""median"": 0.8662882257461547, ""minimum"": 0.8193743737030029, ""maximum"": 0.9487102768611908}","{""n"": 5, ""mean"": 0.12665988438320158, ""std"": 0.007738122167595746, ""ci95"": [0.11705173667399545, 0.1362680320924077], ""median"": 0.12443286246508359, ""minimum"": 0.11689788942039013, ""maximum"": 0.13729502824902534}","{""n"": 5, ""mean"": 0.3292181423931122, ""std"": 0.01712554457454968, ""ci95"": [0.30795397024526, 0.3504823145409644], ""median"": 0.3232804807472229, ""minimum"": 0.309270538315773, ""maximum"": 0.3545257144021988}","{""n"": 5, ""mean"": 0.2407534436343016, ""std"": 0.010731478730947883, ""ci95"": [0.22742855284659416, 0.254078334422009], ""median"": 0.23376623822979803, ""minimum"": 0.2335024568254777, ""maximum"": 0.25789129543433054}","{""n"": 5, ""mean"": 0.2407534436343016, ""std"": 0.010731478730947883, ""ci95"": [0.22742855284659416, 0.254078334422009], ""median"": 0.23376623822979803, ""minimum"": 0.2335024568254777, ""maximum"": 0.25789129543433054}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,gaussian_blur,"{""n"": 5, ""mean"": 0.7301, ""std"": 0.01228519434115716, ""ci95"": [0.7148459164756484, 0.7453540835243515], ""median"": 0.72762, ""minimum"": 0.72024, ""maximum"": 0.75108}","{""n"": 5, ""mean"": 1.1573283147244453, ""std"": 0.056068618107153925, ""ci95"": [1.0877099301917565, 1.226946699257134], ""median"": 1.1864397182273865, ""minimum"": 1.0718000327301025, ""maximum"": 1.203473076686859}","{""n"": 5, ""mean"": 0.1715049683573246, ""std"": 0.008341876136581548, ""ci95"": [0.16114716108105617, 0.18186277563359302], ""median"": 0.17191823435097933, ""minimum"": 0.1584024875921011, ""maximum"": 0.17935669477313756}","{""n"": 5, ""mean"": 0.42883276637005807, ""std"": 0.01745825387147926, ""ci95"": [0.40715548106634075, 0.4505100516737754], ""median"": 0.43659656733751295, ""minimum"": 0.3977239958333969, ""maximum"": 0.438052125043869}","{""n"": 5, ""mean"": 0.29295337625188095, ""std"": 0.025330782675844685, ""ci95"": [0.26150105535696094, 0.32440569714680095], ""median"": 0.27580515965917524, ""minimum"": 0.2734405905941533, ""maximum"": 0.32442609446768067}","{""n"": 5, ""mean"": 0.29295337625188095, ""std"": 0.025330782675844685, ""ci95"": [0.26150105535696094, 0.32440569714680095], ""median"": 0.27580515965917524, ""minimum"": 0.2734405905941533, ""maximum"": 0.32442609446768067}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,gaussian_noise,"{""n"": 5, ""mean"": 0.46072799999999997, ""std"": 0.00824997696966482, ""ci95"": [0.45048430061075695, 0.470971699389243], ""median"": 0.46252, ""minimum"": 0.44888, ""maximum"": 0.47136}","{""n"": 5, ""mean"": 2.8208739794273376, ""std"": 0.06914776094617517, ""ci95"": [2.7350156941040717, 2.9067322647506035], ""median"": 2.85998805393219, ""minimum"": 2.7360410937881467, ""maximum"": 2.883494682540894}","{""n"": 5, ""mean"": 0.4105719103683829, ""std"": 0.014285904460534253, ""ci95"": [0.39283361711795894, 0.4283102036188069], ""median"": 0.41316467212319374, ""minimum"": 0.38892687572300433, ""maximum"": 0.427616559471488}","{""n"": 5, ""mean"": 0.910427348189354, ""std"": 0.022715851874198823, ""ci95"": [0.8822218927286317, 0.9386328036500763], ""median"": 0.9176186499023438, ""minimum"": 0.8745816211509705, ""maximum"": 0.9347119107532501}","{""n"": 5, ""mean"": 0.3770053594098472, ""std"": 0.027104069259645525, ""ci95"": [0.34335121240532396, 0.41065950641437043], ""median"": 0.37893685402400096, ""minimum"": 0.3460788448931294, ""maximum"": 0.4061268259703167}","{""n"": 5, ""mean"": 0.3770053594098472, ""std"": 0.027104069259645525, ""ci95"": [0.34335121240532396, 0.41065950641437043], ""median"": 0.37893685402400096, ""minimum"": 0.3460788448931294, ""maximum"": 0.4061268259703167}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,glass_blur,"{""n"": 5, ""mean"": 0.565736, ""std"": 0.009427273200666242, ""ci95"": [0.5540304942655015, 0.5774415057344985], ""median"": 0.56686, ""minimum"": 0.55172, ""maximum"": 0.57756}","{""n"": 5, ""mean"": 1.9198864854278563, ""std"": 0.04114254917264683, ""ci95"": [1.8688012633258526, 1.97097170752986], ""median"": 1.9169129804611205, ""minimum"": 1.8704723542022705, ""maximum"": 1.9805499698638915}","{""n"": 5, ""mean"": 0.2800189786682725, ""std"": 0.007979547611976135, ""ci95"": [0.27011106167652893, 0.2899268956600161], ""median"": 0.27976454634815456, ""minimum"": 0.27257615331709384, ""maximum"": 0.2917139022022486}","{""n"": 5, ""mean"": 0.6878249004039765, ""std"": 0.01565305554985981, ""ci95"": [0.6683890648658319, 0.707260735942121], ""median"": 0.6868222173118591, ""minimum"": 0.6708221769046784, ""maximum"": 0.7122568336486816}","{""n"": 5, ""mean"": 0.45795487173441085, ""std"": 0.016774011360944488, ""ci95"": [0.4371271857220651, 0.4787825577467566], ""median"": 0.4634926933864702, ""minimum"": 0.43712891594922054, ""maximum"": 0.47496965744996444}","{""n"": 5, ""mean"": 0.45795487173441085, ""std"": 0.016774011360944488, ""ci95"": [0.4371271857220651, 0.4787825577467566], ""median"": 0.4634926933864702, ""minimum"": 0.43712891594922054, ""maximum"": 0.47496965744996444}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,impulse_noise,"{""n"": 5, ""mean"": 0.534712, ""std"": 0.006455084817413338, ""ci95"": [0.5266969535768661, 0.5427270464231339], ""median"": 0.53784, ""minimum"": 0.5271399999999999, ""maximum"": 0.54116}","{""n"": 5, ""mean"": 2.197032690704346, ""std"": 0.12243670010119195, ""ci95"": [2.0450074481298244, 2.3490579332788672], ""median"": 2.1334657466316225, ""minimum"": 2.08766779504776, ""maximum"": 2.3677097151756286}","{""n"": 5, ""mean"": 0.30796648039740326, ""std"": 0.013509726323054286, ""ci95"": [0.291191939596481, 0.32474102119832554], ""median"": 0.3079223624888062, ""minimum"": 0.29410945379674436, ""maximum"": 0.3270216013544798}","{""n"": 5, ""mean"": 0.7395336602926255, ""std"": 0.019031084164462496, ""ci95"": [0.7159034482388266, 0.7631638723464244], ""median"": 0.7341074664402008, ""minimum"": 0.7219577890825272, ""maximum"": 0.7649470909357071}","{""n"": 5, ""mean"": 0.4656559182868272, ""std"": 0.028653198325638996, ""ci95"": [0.4300782734924888, 0.5012335630811655], ""median"": 0.46693909997445354, ""minimum"": 0.424040395718285, ""maximum"": 0.49795881901565825}","{""n"": 5, ""mean"": 0.4656559182868272, ""std"": 0.028653198325638996, ""ci95"": [0.4300782734924888, 0.5012335630811655], ""median"": 0.46693909997445354, ""minimum"": 0.424040395718285, ""maximum"": 0.49795881901565825}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
