model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,1,gaussian_noise,0.46252,2.85998805393219,0.4066470821341872,0.9046085020542145,0.37893685402400096,0.37893685402400096,,,
A,1,shot_noise,0.58874,2.0442979341888425,0.294522702563405,0.6769906680727005,0.3418618129342591,0.3418618129342591,,,
A,1,impulse_noise,0.5271399999999999,2.2842657211685182,0.3143798291358352,0.7535204761505128,0.46693909997445354,0.46693909997445354,,,
A,1,defocus_blur,0.82848,0.6764245666694642,0.10219698013663292,0.2700558376455307,0.21129318292051497,0.21129318292051497,,,
A,1,glass_blur,0.55172,1.9805499698638915,0.2917139022022486,0.7122568336486816,0.4634926933864702,0.4634926933864702,,,
A,1,motion_blur,0.79392,0.8285595962637663,0.12793310644447803,0.3282710729724914,0.23722343118822783,0.23722343118822783,,,
A,1,zoom_blur,0.78938,0.8312587839627266,0.12344614629477263,0.3327958391112089,0.26584335599660525,0.26584335599660525,,,
A,1,snow,0.82484,0.7142690858364105,0.10738069671452045,0.28066157611846926,0.20801128267212304,0.20801128267212304,,,
A,1,frost,0.78808,0.894818036699295,0.130888946685791,0.33655448198318483,0.24484214779704228,0.24484214779704228,,,
A,1,fog,0.88326,0.47138305330097674,0.07146033172547818,0.18783276282325387,0.1404391545670596,0.1404391545670596,,,
A,1,brightness,0.93658,0.24515837679862976,0.03617777521312237,0.10193312315464019,0.08730200226211164,0.08730200226211164,,,
A,1,contrast,0.7692,0.9708618415641785,0.1398158313921094,0.358729168908596,0.27350826213264023,0.27350826213264023,,,
A,1,elastic_transform,0.85332,0.572036544702053,0.08355906601995229,0.23361750071883203,0.19284631389848655,0.19284631389848655,,,
A,1,pixelate,0.7453799999999999,1.2217701053333283,0.17604763311713936,0.42063421625614167,0.23549653639137397,0.23549653639137397,,,
A,1,jpeg_compression,0.79144,0.8354105670547485,0.125425703368783,0.33159560316562653,0.25187295877335475,0.25187295877335475,,,
A,1,speckle_noise,0.6272800000000001,1.793897355696559,0.2575623155519366,0.6051480794152617,0.3392683386112866,0.3392683386112866,,,
A,1,gaussian_blur,0.7223999999999999,1.1290719961237907,0.16985237710177897,0.4341112950372696,0.32442609446768067,0.32442609446768067,,,
A,1,spatter,0.8346399999999999,0.7205301704788208,0.10713418517380953,0.27007756073117256,0.17883716967115934,0.17883716967115934,,,
A,1,saturate,0.9209,0.3079339404112101,0.045507827304303645,0.126473270598948,0.10611555968980421,0.10611555968980421,,,
A,2,gaussian_noise,0.46321999999999997,2.8687032814407347,0.41650436239004135,0.9176186499023438,0.35316952052098816,0.35316952052098816,,,
A,2,shot_noise,0.59,2.0768345586681365,0.30713554925888775,0.6907700068879128,0.3061405996648758,0.3061405996648758,,,
A,2,impulse_noise,0.54116,2.08766779504776,0.2963991552111507,0.7219577890825272,0.48507861475794867,0.48507861475794867,,,
A,2,defocus_blur,0.83716,0.6670688064193726,0.10092957810938359,0.2603500079059601,0.18994266825301137,0.18994266825301137,,,
A,2,glass_blur,0.56332,1.9331545392608642,0.27976454634815456,0.6906284937286377,0.470694639887996,0.470694639887996,,,
A,2,motion_blur,0.79426,0.8444439737415314,0.12770143753081561,0.3291602997159958,0.23804985966749723,0.23804985966749723,,,
A,2,zoom_blur,0.80204,0.7977346787834168,0.11749625983297825,0.31469596533298494,0.2458043260872911,0.2458043260872911,,,
A,2,snow,0.83538,0.6693533004760742,0.09839848848640918,0.26359148018360135,0.20332150176422759,0.20332150176422759,,,
A,2,frost,0.80662,0.8193743737030029,0.11689788942039013,0.309270538315773,0.2335024568254777,0.2335024568254777,,,
