model,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,1,"{""n"": 5, ""mean"": 0.8868842105263158, ""std"": 0.002955763420188068, ""ci95"": [0.8832141455002607, 0.890554275552371], ""median"": 0.8852263157894736, ""minimum"": 0.8844578947368421, ""maximum"": 0.8901210526315789}","{""n"": 5, ""mean"": 0.45710563597188186, ""std"": 0.011301196753513402, ""ci95"": [0.44307334682642696, 0.47113792511733676], ""median"": 0.46034829372018576, ""minimum"": 0.44434433402983764, ""maximum"": 0.4677369690786851}","{""n"": 5, ""mean"": 0.06703903874042787, ""std"": 0.002212076948973252, ""ci95"": [0.06429238243163135, 0.06978569504922438], ""median"": 0.06784097796858926, ""minimum"": 0.06462385190921395, ""maximum"": 0.06944367188081929}","{""n"": 5, ""mean"": 0.18065259447631574, ""std"": 0.004661516376919292, ""ci95"": [0.1748645574140578, 0.18644063153857368], ""median"": 0.18355501421998305, ""minimum"": 0.17506413090511372, ""maximum"": 0.1846405886010904}","{""n"": 5, ""mean"": 0.1417132655697257, ""std"": 0.002373220143158835, ""ci95"": [0.1387665235581534, 0.144660007581298], ""median"": 0.14196210177523058, ""minimum"": 0.13890728781471576, ""maximum"": 0.14523095847719064}","{""n"": 5, ""mean"": 0.1417132655697257, ""std"": 0.002373220143158835, ""ci95"": [0.1387665235581534, 0.144660007581298], ""median"": 0.14196210177523058, ""minimum"": 0.13890728781471576, ""maximum"": 0.14523095847719064}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,2,"{""n"": 5, ""mean"": 0.8278063157894737, ""std"": 0.004037400290785314, ""ci95"": [0.8227932212020682, 0.8328194103768792], ""median"": 0.8253789473684211, ""minimum"": 0.8244578947368421, ""maximum"": 0.833121052631579}","{""n"": 5, ""mean"": 0.7272919281891772, ""std"": 0.017797985268284484, ""ci95"": [0.7051928106409874, 0.749391045737367], ""median"": 0.729500549466359, ""minimum"": 0.7016472814672872, ""maximum"": 0.7445320932262822}","{""n"": 5, ""mean"": 0.10757370609636369, ""std"": 0.0035298811608197116, ""ci95"": [0.10319077974103613, 0.11195663245169124], ""median"": 0.10905052215009928, ""minimum"": 0.10217857659231674, ""maximum"": 0.11037991883629246}","{""n"": 5, ""mean"": 0.2769863639772997, ""std"": 0.006623998682465166, ""ci95"": [0.2687615832891335, 0.2852111446654659], ""median"": 0.28116811961437527, ""minimum"": 0.2674710552403801, ""maximum"": 0.2822188523091768}","{""n"": 5, ""mean"": 0.19621881532147664, ""std"": 0.002897831763222225, ""ci95"": [0.19262068194823226, 0.19981694869472102], ""median"": 0.195166725713542, ""minimum"": 0.19306955167375425, ""maximum"": 0.20078565173139298}","{""n"": 5, ""mean"": 0.19621881532147664, ""std"": 0.002897831763222225, ""ci95"": [0.19262068194823226, 0.19981694869472102], ""median"": 0.195166725713542, ""minimum"": 0.19306955167375425, ""maximum"": 0.20078565173139298}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,3,"{""n"": 5, ""mean"": 0.7692073684210526, ""std"": 0.004232656644646265, ""ci95"": [0.7639518310486374, 0.7744629057934679], ""median"": 0.7664473684210527, ""minimum"": 0.7659578947368421, ""maximum"": 0.7747263157894737}","{""n"": 5, ""mean"": 1.014853451087259, ""std"": 0.018233244596739775, ""ci95"": [0.992213887701044, 1.0374930144734742], ""median"": 1.007937869151662, ""minimum"": 0.9942998402956285, ""maximum"": 1.0342523502770222}","{""n"": 5, ""mean"": 0.1496614665501055, ""std"": 0.0035027079926469337, ""ci95"": [0.14531228013941522, 0.1540106529607958], ""median"": 0.15084467479029767, ""minimum"": 0.14472251842147427, ""maximum"": 0.15320740400105715}","{""n"": 5, ""mean"": 0.3731007846947833, ""std"": 0.006940463041204533, ""ci95"": [0.3644830616056558, 0.3817185077839108], ""median"": 0.3769177109997278, ""minimum"": 0.3645471562865558, ""maximum"": 0.37960953264393305}","{""n"": 5, ""mean"": 0.2442941151910726, ""std"": 0.004955551222645843, ""ci95"": [0.23814098564665862, 0.25044724473548663], ""median"": 0.24627257552253615, ""minimum"": 0.23662674650560242, ""maximum"": 0.24923172826282428}","{""n"": 5, ""mean"": 0.2442941151910726, ""std"": 0.004955551222645843, ""ci95"": [0.23814098564665862, 0.25044724473548663], ""median"": 0.24627257552253615, ""minimum"": 0.23662674650560242, ""maximum"": 0.24923172826282428}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,4,"{""n"": 5, ""mean"": 0.6980284210526316, ""std"": 0.004887879463629328, ""ci95"": [0.6919593170950835, 0.7040975250101797], ""median"": 0.6965894736842105, ""minimum"": 0.6930157894736843, ""maximum"": 0.7061631578947368}","{""n"": 5, ""mean"": 1.3718564074108945, ""std"": 0.01892621894637997, ""ci95"": [1.3483564027230526, 1.3953564120987365], ""median"": 1.3822766515154588, ""minimum"": 1.3435532366727527, ""maximum"": 1.3889787817879728}","{""n"": 5, ""mean"": 0.200743202007209, ""std"": 0.0024002882043491474, ""ci95"": [0.1977628505585555, 0.2037235534558625], ""median"": 0.20103861310403598, ""minimum"": 0.19720450362272954, ""maximum"": 0.20318470391042923}","{""n"": 5, ""mean"": 0.48851488632341356, ""std"": 0.006438692166831777, ""ci95"": [0.48052019406434193, 0.4965095785824852], ""median"": 0.48984312712205086, ""minimum"": 0.47826117963853637, ""maximum"": 0.4946987517868806}","{""n"": 5, ""mean"": 0.3021720054873484, ""std"": 0.006468529045870661, ""ci95"": [0.29414026584975544, 0.31020374512494137], ""median"": 0.3027382554367982, ""minimum"": 0.2918278231544478, ""maximum"": 0.3088995681774446}","{""n"": 5, ""mean"": 0.3021720054873484, ""std"": 0.006468529045870661, ""ci95"": [0.29414026584975544, 0.31020374512494137], ""median"": 0.3027382554367982, ""minimum"": 0.2918278231544478, ""maximum"": 0.3088995681774446}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
A,5,"{""n"": 5, ""mean"": 0.5756694736842105, ""std"": 0.005908860429807725, ""ci95"": [0.5683326544181074, 0.5830062929503136], ""median"": 0.5750842105263158, ""minimum"": 0.5684157894736842, ""maximum"": 0.5847631578947369}","{""n"": 5, ""mean"": 2.009970047895532, ""std"": 0.039487485414601856, ""ci95"": [1.9609398588766245, 2.0590002369144393], ""median"": 2.000664373400337, ""minimum"": 1.9687874113785593, ""maximum"": 2.071048206926647}","{""n"": 5, ""mean"": 0.28997182288329854, ""std"": 0.005022244509975496, ""ci95"": [0.2837358826850854, 0.29620776308151164], ""median"": 0.2874171319098065, ""minimum"": 0.2859232838456568, ""maximum"": 0.2974914191059376}","{""n"": 5, ""mean"": 0.6863594477053693, ""std"": 0.009255431758238598, ""ci95"": [0.6748673113033327, 0.6978515841074059], ""median"": 0.6835974511058707, ""minimum"": 0.6749841927440543, ""maximum"": 0.6998199506696902}","{""n"": 5, ""mean"": 0.39725889128742836, ""std"": 0.010086073508620447, ""ci95"": [0.3847353769285376, 0.4097824056463191], ""median"": 0.396357646498819, ""minimum"": 0.38537528238479096, ""maximum"": 0.4101904371451481}","{""n"": 5, ""mean"": 0.39725889128742836, ""std"": 0.010086073508620447, ""ci95"": [0.3847353769285376, 0.4097824056463191], ""median"": 0.396357646498819, ""minimum"": 0.38537528238479096, ""maximum"": 0.4101904371451481}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}"
C,1,"{""n"": 4, ""mean"": 0.885778947368421, ""std"": 0.001506422078709794, ""ci95"": [0.8833818936791267, 0.8881760010577153], ""median"": 0.8858921052631579, ""minimum"": 0.8838315789473684, ""maximum"": 0.8875}","{""n"": 4, ""mean"": 0.47199651713418334, ""std"": 0.008348142158846494, ""ci95"": [0.4587127600494789, 0.48528027421888775], ""median"": 0.47427006299119245, ""minimum"": 0.4602818878904769, ""maximum"": 0.47916405466387146}","{""n"": 4, ""mean"": 0.0694614922311157, ""std"": 0.002320164675407739, ""ci95"": [0.06576959248166449, 0.0731533919805669], ""median"": 0.06989356669995346, ""minimum"": 0.06625699511742905, ""maximum"": 0.07180184040712682}","{""n"": 4, ""mean"": 0.18390690118250386, ""std"": 0.0028417550195774777, ""ci95"": [0.17938503480121518, 0.18842876756379254], ""median"": 0.18411669131333105, ""minimum"": 0.18024733638122284, ""maximum"": 0.18714688572213053}","{""n"": 4, ""mean"": 0.13833605269039795, ""std"": 0.0037960325502797666, ""ci95"": [0.13229571780820962, 0.14437638757258628], ""median"": 0.13709685845950542, ""minimum"": 0.13527334245570174, ""maximum"": 0.14387715138687912}","{""n"": 4, ""mean"": 0.138830245313842, ""std"": 0.003378550298288003, ""ci95"": [0.13345421785684014, 0.14420627277084386], ""median"": 0.13770511245349323, ""minimum"": 0.13614374010926794, ""maximum"": 0.1437670162391136}","{""n"": 4, ""mean"": 0.008724999999999998, ""std"": 0.0004616077528069965, ""ci95"": [0.0079904790562944, 0.009459520943705597], ""median"": 0.008844736842105263, ""minimum"": 0.008084210526315787, ""maximum"": 0.009126315789473684}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.0713463013717945, ""std"": 0.0009892038601822602, ""ci95"": [0.06977225728678951, 0.07292034545679948], ""median"": 0.07135867013948133, ""minimum"": 0.07013060425655292, ""maximum"": 0.07253726095166242}"
C,2,"{""n"": 4, ""mean"": 0.8262052631578948, ""std"": 0.005220946518446311, ""ci95"": [0.8178975721790367, 0.8345129541367529], ""median"": 0.8274473684210526, ""minimum"": 0.8194368421052631, ""maximum"": 0.8304894736842106}","{""n"": 4, ""mean"": 0.7503327504081946, ""std"": 0.033956662300023185, ""ci95"": [0.6963001231699475, 0.8043653776464417], ""median"": 0.741827082984071, ""minimum"": 0.7198639905239407, ""maximum"": 0.7978128451406956}","{""n"": 4, ""mean"": 0.11089884960151425, ""std"": 0.0058235835920361035, ""ci95"": [0.10163222855851957, 0.12016547064450893], ""median"": 0.11020637084735851, ""minimum"": 0.10475846723600438, ""maximum"": 0.11842418947533558}","{""n"": 4, ""mean"": 0.28143982986968596, ""std"": 0.01006119152839024, ""ci95"": [0.26543022896654456, 0.2974494307728274], ""median"": 0.2790915537664765, ""minimum"": 0.27277452605460817, ""maximum"": 0.2948016858911828}","{""n"": 4, ""mean"": 0.19121499667845515, ""std"": 0.005737035325625635, ""ci95"": [0.18208609324079386, 0.20034390011611644], ""median"": 0.1901497150656496, ""minimum"": 0.18553681637789735, ""maximum"": 0.1990237402046241}","{""n"": 4, ""mean"": 0.19175954323853467, ""std"": 0.0051995225054444275, ""ci95"": [0.18348594264518767, 0.20003314383188167], ""median"": 0.1908591253832272, ""minimum"": 0.18654868324331855, ""maximum"": 0.19877123894436582}","{""n"": 4, ""mean"": 0.012276315789473687, ""std"": 0.0009837319410570993, ""ci95"": [0.010710978748870047, 0.013841652830077327], ""median"": 0.012392105263157897, ""minimum"": 0.010984210526315784, ""maximum"": 0.013336842105263168}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07271584721913206, ""std"": 0.0010325536200099842, ""ci95"": [0.07107282399262772, 0.0743588704456364], ""median"": 0.07275861687511731, ""minimum"": 0.07142221350113201, ""maximum"": 0.07392394162516158}"
C,3,"{""n"": 4, ""mean"": 0.767057894736842, ""std"": 0.009312286981581461, ""ci95"": [0.7522399680877018, 0.7818758213859823], ""median"": 0.7686684210526316, ""minimum"": 0.7558473684210526, ""maximum"": 0.7750473684210526}","{""n"": 4, ""mean"": 1.0490854364783355, ""std"": 0.07366471209782542, ""ci95"": [0.9318684410555588, 1.1663024319011122], ""median"": 1.0342321067526152, ""minimum"": 0.9804638866801011, ""maximum"": 1.1474136457280109}","{""n"": 4, ""mean"": 0.15415365769872932, ""std"": 0.010587339707558352, ""ci95"": [0.1373068376311751, 0.17100047776628355], ""median"": 0.1525025081439238, ""minimum"": 0.14377406467262066, ""maximum"": 0.16783554983444904}","{""n"": 4, ""mean"": 0.3785074611710948, ""std"": 0.018818263692490744, ""ci95"": [0.34856340429107874, 0.40845151805111085], ""median"": 0.37485939745473135, ""minimum"": 0.36201697896671925, ""maximum"": 0.40229407080819735}","{""n"": 4, ""mean"": 0.23761630497481218, ""std"": 0.008646817277661414, ""ci95"": [0.22385728912593134, 0.251375320823693], ""median"": 0.23608439995668862, ""minimum"": 0.23018532087326993, ""maximum"": 0.2481110991126016}","{""n"": 4, ""mean"": 0.23811309712873294, ""std"": 0.008248928145867702, ""ci95"": [0.2249872116785469, 0.25123898257891897], ""median"": 0.23670490553997267, ""minimum"": 0.23091823088944335, ""maximum"": 0.24812434654554305}","{""n"": 4, ""mean"": 0.015018421052631573, ""std"": 0.0011815955533549648, ""ci95"": [0.013138238851074163, 0.016898603254188984], ""median"": 0.015534210526315788, ""minimum"": 0.013257894736842094, ""maximum"": 0.01574736842105262}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.0738593030962943, ""std"": 0.0011119364976120366, ""ci95"": [0.07208996399702622, 0.07562864219556237], ""median"": 0.07389862626311268, ""minimum"": 0.07247643010517957, ""maximum"": 0.07516352975377225}"
C,4,"{""n"": 4, ""mean"": 0.6963223684210527, ""std"": 0.013240265243958618, ""ci95"": [0.6752541518177428, 0.7173905850243625], ""median"": 0.6961868421052632, ""minimum"": 0.6842631578947369, ""maximum"": 0.7086526315789474}","{""n"": 4, ""mean"": 1.417570074974118, ""std"": 0.10799382706598755, ""ci95"": [1.2457277970042882, 1.589412352943948], ""median"": 1.4135678769173592, ""minimum"": 1.306877134068075, ""maximum"": 1.5362674119936792}","{""n"": 4, ""mean"": 0.20632043761344332, ""std"": 0.015384875816153273, ""ci95"": [0.18183966701425622, 0.23080120821263042], ""median"": 0.20675070117484584, ""minimum"": 0.18964708785940157, ""maximum"": 0.22213326024468008}","{""n"": 4, ""mean"": 0.4951925540322487, ""std"": 0.02682050017505047, ""ci95"": [0.4525151531882661, 0.5378699548762313], ""median"": 0.4940856941506071, ""minimum"": 0.47013184656173385, ""maximum"": 0.5224669812660468}","{""n"": 4, ""mean"": 0.2913813738387399, ""std"": 0.013749054865254321, ""ci95"": [0.2695035594102003, 0.3132591882672795], ""median"": 0.28722928944913595, ""minimum"": 0.28077474170482586, ""maximum"": 0.3102921747518618}","{""n"": 4, ""mean"": 0.29101917499171953, ""std"": 0.013214183829667025, ""ci95"": [0.2699924597386841, 0.312045890244755], ""median"": 0.2864850408795566, ""minimum"": 0.28152987682631064, ""maximum"": 0.30957674138145436}","{""n"": 4, ""mean"": 0.01839605263157895, ""std"": 0.0015258703221682644, ""ci95"": [0.015968052447015296, 0.0208240528161426], ""median"": 0.01880526315789474, ""minimum"": 0.016310526315789466, ""maximum"": 0.019663157894736844}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07498259857497926, ""std"": 0.0011821280683536445, ""ci95"": [0.07310156902322681, 0.0768636281267317], ""median"": 0.07495284544844649, ""minimum"": 0.07357683620538832, ""maximum"": 0.07644786719763572}"
C,5,"{""n"": 4, ""mean"": 0.5775828947368421, ""std"": 0.013549298772627177, ""ci95"": [0.5560229368277722, 0.599142852645912], ""median"": 0.5776763157894736, ""minimum"": 0.5645105263157895, ""maximum"": 0.5904684210526315}","{""n"": 4, ""mean"": 2.0346013053676018, ""std"": 0.1411501033176344, ""ci95"": [1.809999992970753, 2.2592026177644504], ""median"": 2.0452394269795793, ""minimum"": 1.8752219349635275, ""maximum"": 2.17270443254772}","{""n"": 4, ""mean"": 0.29367537035830316, ""std"": 0.018340449266388864, ""ci95"": [0.2644916228557668, 0.32285911786083954], ""median"": 0.29443544026942625, ""minimum"": 0.27340966296368524, ""maximum"": 0.31242093793067494}","{""n"": 4, ""mean"": 0.6879874392400447, ""std"": 0.030283747725006305, ""ci95"": [0.6397992387112412, 0.7361756397688481], ""median"": 0.6875228704234487, ""minimum"": 0.6579977075175235, ""maximum"": 0.7189063085957578}","{""n"": 4, ""mean"": 0.382853587504258, ""std"": 0.02155131811883004, ""ci95"": [0.3485606311436198, 0.41714654386489625], ""median"": 0.37602549578624744, ""minimum"": 0.3651676641200272, ""maximum"": 0.41419569432451}","{""n"": 4, ""mean"": 0.3786123859017232, ""std"": 0.020835321168781562, ""ci95"": [0.34545874046522324, 0.41176603133822315], ""median"": 0.37100614020888356, ""minimum"": 0.36309468667728056, ""maximum"": 0.4093425765118449}","{""n"": 4, ""mean"": 0.023789473684210534, ""std"": 0.0013282984345778389, ""ci95"": [0.021675854461491978, 0.02590309290692909], ""median"": 0.024244736842105277, ""minimum"": 0.021900000000000003, ""maximum"": 0.024768421052631575}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07710634024119743, ""std"": 0.0014181409832380043, ""ci95"": [0.07484976147495845, 0.07936291900743642], ""median"": 0.07686089602796778, ""minimum"": 0.07565734202562098, ""maximum"": 0.0790462268832332}"
