model,seed,status,accuracy,NLL,ECE,Brier,parameters,latency_ms
C-T1,1,completed,95.12,0.2170749248534441,0.033806172636151315,0.08249895791336893,11442762,0.06114729319233447
C-T1,2,completed,94.8,0.23190460596084594,0.03657766685783863,0.08747493287324905,11442762,0.061130921391304584
C-T1,3,completed,94.73,0.233824145591259,0.037040473535656926,0.08809509664773942,11442762,0.0611167287803255
C-T2,1,completed,95.0,0.23865471785068512,0.03573893459439278,0.08565561929941178,11442762,0.06246825859416276
C-T2,2,completed,95.12,0.1918924008369446,0.027757904842495917,0.07893582661151886,11442762,0.06251127778668888
C-T2,3,completed,95.02000000000001,0.20880717306137084,0.03202692560851574,0.08094443757534027,11442762,0.06254892782308161
D1-T1,1,completed,95.08,0.18337635563611984,0.02908565405011177,0.07946388982534408,11442762,0.0629152536392212
D1-T1,2,completed,95.0,0.19545122532844544,0.030466673547029494,0.08176928707361221,11442762,0.06618513097055256
D1-T1,3,completed,95.17,0.18484898953437806,0.027509143942594527,0.07824925211668014,11442762,0.06352834122953936
D1-T2,1,completed,95.3,0.18837296028137207,0.028362364745140076,0.07829725404977798,11442762,0.062365547998342666
D1-T2,2,completed,95.16,0.18987876863479614,0.028596107292175293,0.0802933079957962,11442762,0.0665416853618808
D1-T2,3,completed,95.08,0.18759219541549682,0.02810224312245846,0.07976406036615372,11442762,0.06292164246551693
D1-T5,1,completed,86.7,0.39175491852760314,0.017536046935617923,0.1907380273103714,11442762,0.08391693398589269
D1-T5,2,completed,95.04,0.19485465980768205,0.03165091363191604,0.08006663169860839,11442762,0.08216712818248198
D1-T5,3,completed,94.19999999999999,0.2430420494556427,0.03515074118971825,0.09369821412563324,11442762,0.08090763222426176
C-T3,1,completed,95.28,0.18783377190828324,0.025829476940631868,0.07803964084386826,11442762,0.0637562058167532
C-T3,2,completed,95.06,0.19013547785282134,0.029508107009530066,0.07905601763129234,11442762,0.06370562139782124
C-T3,3,completed,95.11,0.19326890778541564,0.027868011732399462,0.07904054374694824,11442762,0.06371854839962907
D1-T3,1,completed,95.1,0.19178413202762604,0.0296220624178648,0.07995253794193267,11442762,0.0657140769995749
D1-T3,2,completed,94.93,0.19677556166648866,0.030907029742002486,0.08223585386276246,11442762,0.0652558309957385
D1-T3,3,completed,95.02000000000001,0.1838079758644104,0.02932502027750015,0.07874167939424515,11442762,0.06528483820147812
