id,model,seed,T,dataset,status
cifar-10-C-T1-seed1,C,1,1,CIFAR-10,completed
cifar-10-C-T1-seed2,C,2,1,CIFAR-10,completed
cifar-10-C-T1-seed3,C,3,1,CIFAR-10,completed
cifar-10-C-T2-seed1,C,1,2,CIFAR-10,completed
cifar-10-C-T2-seed2,C,2,2,CIFAR-10,completed
cifar-10-C-T2-seed3,C,3,2,CIFAR-10,completed
cifar-10-C-T5-seed1,C,1,5,CIFAR-10,failed
cifar-10-C-T5-seed2,C,2,5,CIFAR-10,failed
cifar-10-C-T5-seed3,C,3,5,CIFAR-10,failed
cifar-10-D1-T1-seed1,D1,1,1,CIFAR-10,completed
cifar-10-D1-T1-seed2,D1,2,1,CIFAR-10,completed
cifar-10-D1-T1-seed3,D1,3,1,CIFAR-10,completed
cifar-10-D1-T2-seed1,D1,1,2,CIFAR-10,completed
cifar-10-D1-T2-seed2,D1,2,2,CIFAR-10,completed
cifar-10-D1-T2-seed3,D1,3,2,CIFAR-10,completed
cifar-10-D1-T5-seed1,D1,1,5,CIFAR-10,completed
cifar-10-D1-T5-seed2,D1,2,5,CIFAR-10,completed
cifar-10-D1-T5-seed3,D1,3,5,CIFAR-10,completed
