model,seed,status,accuracy,NLL,ECE,Brier,parameters,latency_ms
C-T1,1,completed,95.12,0.2170749248534441,0.033806172636151315,0.08249895791336893,11442762,0.06114729319233447
C-T1,2,completed,94.8,0.23190460596084594,0.03657766685783863,0.08747493287324905,11442762,0.061130921391304584
C-T1,3,completed,94.73,0.233824145591259,0.037040473535656926,0.08809509664773942,11442762,0.0611167287803255
C-T3,1,completed,95.28,0.18783377190828324,0.025829476940631868,0.07803964084386826,11442762,0.0637562058167532
C-T3,2,completed,95.06,0.19013547785282134,0.029508107009530066,0.07905601763129234,11442762,0.06370562139782124
C-T3,3,completed,95.11,0.19326890778541564,0.027868011732399462,0.07904054374694824,11442762,0.06371854839962907
D1-T3,1,completed,95.1,0.19178413202762604,0.0296220624178648,0.07995253794193267,11442762,0.0657140769995749
D1-T3,2,completed,94.93,0.19677556166648866,0.030907029742002486,0.08223585386276246,11442762,0.0652558309957385
D1-T3,3,completed,95.02000000000001,0.1838079758644104,0.02932502027750015,0.07874167939424515,11442762,0.06528483820147812
A,1,completed,95.05,0.1880593503713608,0.027984341832995415,0.07883957874774933,11173962,0.05924601220758632
A,2,completed,95.33,0.18245750617980958,0.025750463542342186,0.07650429832935333,11173962,0.05932717118412256
A,3,completed,95.15,0.19246376719474792,0.02723008945286274,0.07935342621803283,11173962,0.059304552001412957
